-65.183608	-31.0888399	366
>		367
-70.34514048	-31.12184043	368
-70.30031004	-30.69809199	369
>		370
-65.44534871	-30.77356131	371
-65.36801623	-30.69622883	372
>		373
-65.36801623	-30.69622883	374
-65.31447836	-30.72002344	375
>		376
-71.48282508	-30.68682102	377
-71.46354096	-31.27050909	378
>		379
-70.97401188	-30.67437204	380
-71.48282508	-30.68682102	381
>		382
-70.98185124	-31.46937804	383
-70.97401188	-30.67437204	384
>		385
-70.97401188	-30.67437204	386
-70.30031004	-30.69809199	387
>		388
-69.23006532	-30.74929137	389
-68.99472842	-30.67088786	390
>		391
-68.99472842	-30.67088786	392
-68.9891994	-30.66904584	393
>		394
-68.9891994	-30.66904584	395
-68.49480312	-30.74136201	396
>		397
-69.23006532	-30.74929137	398
-69.20294292	-30.64153599	399
>		400
-68.9891994	-30.66904584	401
-69.20294292	-30.64153599	402
>		403
-66.2526107	-30.61169513	404
-66.21929824	-30.87105638	405
>		406
-69.83791596	-30.60671202	407
-69.72172056	-30.91473225	408
>		409
-67.67227667	-30.90487302	410
-67.84576541	-30.58746778	411
>		412
-69.20294292	-30.64153599	413
-69.83791605	-30.53897794	414
>		415
-69.84301999	-30.53831768	416
-69.83791596	-30.60671202	417
>		418
-69.83791605	-30.53897794	419
-69.84301999	-30.53831768	420
>		421
-66.62856554	-30.52841399	422
-66.7356261	-30.88522908	423
>		424
-67.43954175	-30.4633964	425
-67.36056728	-30.79601268	426
>		427
-68.46394673	-30.40101441	428
-68.49480312	-30.74136201	429
>		430
-70.30031004	-30.69809199	431
-70.14772512	-30.36316797	432
>		433
-69.83791596	-30.60671202	434
-70.14772512	-30.36316797	435
>		436
-67.84576541	-30.58746778	437
-67.89356654	-30.36295077	438
>		439
-68.16765682	-30.24686545	440
-67.89356654	-30.36295077	441
>		442
-70.30031004	-30.69809199	443
-70.23766104	-30.22859403	444
>		445
-70.14772512	-30.36316797	446
-70.23766104	-30.22859403	447
>		448
-68.35685024	-30.22343468	449
-68.46394673	-30.40101441	450
>		451
-67.5341884	-30.25352676	452
-67.4056975	-30.21783485	453
>		454
-67.43954175	-30.4633964	455
